"elimfilters_sku","source_sku","reason"
"EC54005","CF14005","Duplicate (2 instances collapsed to 1)"
"EC54007","CF14007X","Duplicate (5 instances collapsed to 1)"
"EC54008","CF14008","Duplicate (3 instances collapsed to 1)"
"EC54011","CF14011","Duplicate (2 instances collapsed to 1)"
"EC54013","CF14013","Duplicate (3 instances collapsed to 1)"
"EC54014","CF14014","Duplicate (2 instances collapsed to 1)"
"EC55001","CF1500/1","Duplicate (8 instances collapsed to 1)"
"EC56001","CF16001","Duplicate (6 instances collapsed to 1)"
"EC56002","CF16002","Duplicate (6 instances collapsed to 1)"
"EC56004","CF16004","Duplicate (4 instances collapsed to 1)"
"EC56007","CF16007","Duplicate (2 instances collapsed to 1)"
"EC56009","CF16009","Duplicate (3 instances collapsed to 1)"
"EC51620","CF1620","Duplicate (2 instances collapsed to 1)"
"EC56219","CF16219","Duplicate (2 instances collapsed to 1)"
"EC57006","CF17006","Duplicate (2 instances collapsed to 1)"
"EC57007","CF17007","Duplicate (3 instances collapsed to 1)"
"EC57014","CF17014","Duplicate (2 instances collapsed to 1)"
"EC58005","CF18005","Duplicate (2 instances collapsed to 1)"
"EC51830","CF1830","Duplicate (3 instances collapsed to 1)"
"EC59002","CF19002","Duplicate (6 instances collapsed to 1)"
"EC59003","CF19003","Duplicate (4 instances collapsed to 1)"
"EC59006","CF19006X","Duplicate (2 instances collapsed to 1)"
"EC59009","CF19009","Duplicate (2 instances collapsed to 1)"
"EC52006","CF2006","Duplicate (2 instances collapsed to 1)"
"EC52100","CF2100","Duplicate (2 instances collapsed to 1)"
"EC51001","CF2100/1","Duplicate (6 instances collapsed to 1)"
"EC51002","CF21002","Duplicate (2 instances collapsed to 1)"
"EC51003","CF21003","Duplicate (6 instances collapsed to 1)"
"EC53001","CF23001","Duplicate (5 instances collapsed to 1)"
"EC54001","CF24001","Duplicate (4 instances collapsed to 1)"
"EC52530","CF2530","Duplicate (2 instances collapsed to 1)"
"EC52550","CF2550","Duplicate (2 instances collapsed to 1)"
"EC52631","CF2631","Duplicate (2 instances collapsed to 1)"
"EC53240","CF3240","Duplicate (3 instances collapsed to 1)"
"EC55002","CF5002","Duplicate (6 instances collapsed to 1)"
"EC56003","CF6003","Duplicate (6 instances collapsed to 1)"
"EC50710","CF710","Duplicate (2 instances collapsed to 1)"
"EC50751","CF75/1","Duplicate (2 instances collapsed to 1)"
"EC58002","CF8002","Duplicate (4 instances collapsed to 1)"
"EC50084","CF84","Duplicate (2 instances collapsed to 1)"
"EC59007","CF9007","Duplicate (3 instances collapsed to 1)"
"EC51009","CU1009","Duplicate (2 instances collapsed to 1)"
"EC58001","CU108001","Duplicate (6 instances collapsed to 1)"
"EC52001","CU12001","Duplicate (5 instances collapsed to 1)"
"EC50037","CU1550037","Duplicate (2 instances collapsed to 1)"
"EC56012","CU16012","Duplicate (2 instances collapsed to 1)"
"EC51629","CU1629","Duplicate (2 instances collapsed to 1)"
"EC57003","CU17003","Duplicate (4 instances collapsed to 1)"
"EC51721","CU1721","Duplicate (3 instances collapsed to 1)"
"EC58009","CU18009","Duplicate (4 instances collapsed to 1)"
"EC51827","CU1827","Duplicate (2 instances collapsed to 1)"
"EC51828","CU1828","Duplicate (3 instances collapsed to 1)"
"EC51829","CU1829","Duplicate (2 instances collapsed to 1)"
"EC59001","CU19001","Duplicate (5 instances collapsed to 1)"
"EC59004","CU19004","Duplicate (5 instances collapsed to 1)"
"EC59005","CU19005","Duplicate (4 instances collapsed to 1)"
"EC51919","CU1919","Duplicate (3 instances collapsed to 1)"
"EC51936","CU1936","Duplicate (2 instances collapsed to 1)"
"EC50018","CU20018","Duplicate (4 instances collapsed to 1)"
"EC52012","CU2012","Duplicate (3 instances collapsed to 1)"
"EC52026","CU2026","Duplicate (3 instances collapsed to 1)"
"EC52028","CU2028","Duplicate (2 instances collapsed to 1)"
"EC52035","CU2035","Duplicate (2 instances collapsed to 1)"
"EC52040","CU2040","Duplicate (2 instances collapsed to 1)"
"EC52043","CU2043","Duplicate (2 instances collapsed to 1)"
"EC52079","CU2079","Duplicate (2 instances collapsed to 1)"
"EC52131","CU2131","Duplicate (3 instances collapsed to 1)"
"EC52132","CU2132","Duplicate (2 instances collapsed to 1)"
"EC52137","CU2137","Duplicate (2 instances collapsed to 1)"
"EC52141","CU2141","Duplicate (2 instances collapsed to 1)"
"EC52143","CU2143","Duplicate (2 instances collapsed to 1)"
"EC52145","CU2145","Duplicate (2 instances collapsed to 1)"
"EC52149","CU2149","Duplicate (2 instances collapsed to 1)"
"EC52184","CU2184","Duplicate (2 instances collapsed to 1)"
"EC52003","CU22003","Duplicate (3 instances collapsed to 1)"
"EC52007","CU22007","Duplicate (2 instances collapsed to 1)"
"EC52010","CU22010","Duplicate (3 instances collapsed to 1)"
"EC52011","CU22011","Duplicate (5 instances collapsed to 1)"
"EC52013","CU22013","Duplicate (2 instances collapsed to 1)"
"EC52022","CU22022","Duplicate (3 instances collapsed to 1)"
"EC52023","CU22023","Duplicate (2 instances collapsed to 1)"
"EC52032","CU22032","Duplicate (3 instances collapsed to 1)"
"EC52225","CU2225","Duplicate (2 instances collapsed to 1)"
"EC52227","CU2227","Duplicate (2 instances collapsed to 1)"
"EC52232","CU2232","Duplicate (2 instances collapsed to 1)"
"EC52321","CU2232/1","Duplicate (2 instances collapsed to 1)"
"EC52240","CU2240","Duplicate (2 instances collapsed to 1)"
"EC52243","CU2243","Duplicate (2 instances collapsed to 1)"
"EC52245","CU2245","Duplicate (2 instances collapsed to 1)"
"EC52252","CU2252","Duplicate (2 instances collapsed to 1)"
"EC53009","CU23009","Duplicate (3 instances collapsed to 1)"
"EC53019","CU23019","Duplicate (2 instances collapsed to 1)"
"EC53024","CU23024","Duplicate (2 instances collapsed to 1)"
"EC53033","CU23033","Duplicate (2 instances collapsed to 1)"
"EC52316","CU2316","Duplicate (2 instances collapsed to 1)"
"EC52317","CU2317","Duplicate (2 instances collapsed to 1)"
"EC52335","CU2335","Duplicate (3 instances collapsed to 1)"
"EC52336","CU2336","Duplicate (2 instances collapsed to 1)"
"EC52338","CU2338","Duplicate (2 instances collapsed to 1)"
"EC52339","CU2339","Duplicate (2 instances collapsed to 1)"
"EC52345","CU2345","Duplicate (2 instances collapsed to 1)"
"EC52358","CU2358","Duplicate (2 instances collapsed to 1)"
"EC52362","CU2362","Duplicate (2 instances collapsed to 1)"
"EC54004","CU24004","Duplicate (3 instances collapsed to 1)"
"EC54006","CU24006","Duplicate (2 instances collapsed to 1)"
"EC54009","CU24009","Duplicate (3 instances collapsed to 1)"
"EC54017","CU24017","Duplicate (2 instances collapsed to 1)"
"EC54024","CU24024","Duplicate (2 instances collapsed to 1)"
"EC52422","CU2422","Duplicate (2 instances collapsed to 1)"
"EC52424","CU2424","Duplicate (2 instances collapsed to 1)"
"EC52430","CU2430","Duplicate (2 instances collapsed to 1)"
"EC52433","CU2433","Duplicate (2 instances collapsed to 1)"
"EC52434","CU2434","Duplicate (2 instances collapsed to 1)"
"EC52435","CU2435","Duplicate (2 instances collapsed to 1)"
"EC52436","CU2436","Duplicate (2 instances collapsed to 1)"
"EC52440","CU2440","Duplicate (2 instances collapsed to 1)"
"EC52442","CU2442","Duplicate (2 instances collapsed to 1)"
"EC52450","CU2450","Duplicate (2 instances collapsed to 1)"
"EC55003","CU25003","Duplicate (3 instances collapsed to 1)"
"EC55007","CU25007","Duplicate (4 instances collapsed to 1)"
"EC55012","CU25012","Duplicate (2 instances collapsed to 1)"
"EC55038","CU25038","Duplicate (2 instances collapsed to 1)"
"EC52525","CU2525","Duplicate (2 instances collapsed to 1)"
"EC52531","CU2531","Duplicate (2 instances collapsed to 1)"
"EC52532","CU2532","Duplicate (2 instances collapsed to 1)"
"EC52534","CU2534","Duplicate (2 instances collapsed to 1)"
"EC52544","CU2544","Duplicate (2 instances collapsed to 1)"
"EC52545","CU2545","Duplicate (2 instances collapsed to 1)"
"EC52559","CU2559","Duplicate (2 instances collapsed to 1)"
"EC56006","CU26006","Duplicate (3 instances collapsed to 1)"
"EC56010","CU26010","Duplicate (2 instances collapsed to 1)"
"EC56017","CU26017","Duplicate (3 instances collapsed to 1)"
"EC56021","CU26021","Duplicate (2 instances collapsed to 1)"
"EC50310","CU2603(10)","Duplicate (2 instances collapsed to 1)"
"EC52620","CU2620","Duplicate (2 instances collapsed to 1)"
"EC52622","CU2622","Duplicate (2 instances collapsed to 1)"
"EC52648","CU2648","Duplicate (2 instances collapsed to 1)"
"EC52672","CU2672","Duplicate (2 instances collapsed to 1)"
"EC52680","CU2680","Duplicate (2 instances collapsed to 1)"
"EC57004","CU27004","Duplicate (2 instances collapsed to 1)"
"EC57008","CU27008","Duplicate (2 instances collapsed to 1)"
"EC57009","CU27009","Duplicate (3 instances collapsed to 1)"
"EC52733","CU2733","Duplicate (2 instances collapsed to 1)"
"EC52734","CU2734","Duplicate (2 instances collapsed to 1)"
"EC52747","CU2747","Duplicate (2 instances collapsed to 1)"
"EC52757","CU2757","Duplicate (2 instances collapsed to 1)"
"EC58004","CU28004","Duplicate (2 instances collapsed to 1)"
"EC58016","CU28016","Duplicate (2 instances collapsed to 1)"
"EC52842","CU2842","Duplicate (2 instances collapsed to 1)"
"EC52855","CU2855","Duplicate (2 instances collapsed to 1)"
"EC58551","CU2855/1","Duplicate (2 instances collapsed to 1)"
"EC52862","CU2862","Duplicate (2 instances collapsed to 1)"
"EC52882","CU2882","Duplicate (2 instances collapsed to 1)"
"EC52897","CU2897","Duplicate (2 instances collapsed to 1)"
"EC58971","CU2897/1","Duplicate (2 instances collapsed to 1)"
"EC59010","CU29010","Duplicate (2 instances collapsed to 1)"
"EC59154","CU29154","Duplicate (2 instances collapsed to 1)"
"EC52939","CU2939","Duplicate (2 instances collapsed to 1)"
"EC52940","CU2940","Duplicate (2 instances collapsed to 1)"
"EC52945","CU2945","Duplicate (2 instances collapsed to 1)"
"EC52949","CU2949","Duplicate (2 instances collapsed to 1)"
"EC52951","CU2951","Duplicate (2 instances collapsed to 1)"
"EC52952","CU2952","Duplicate (2 instances collapsed to 1)"
"EC52956","CU2956","Duplicate (2 instances collapsed to 1)"
"EC50007","CU30007","Duplicate (3 instances collapsed to 1)"
"EC50009","CU30009","Duplicate (3 instances collapsed to 1)"
"EC50012","CU30012","Duplicate (3 instances collapsed to 1)"
"EC53020","CU3020","Duplicate (2 instances collapsed to 1)"
"EC53023","CU3023","Duplicate (2 instances collapsed to 1)"
"EC53032","CU3032","Duplicate (2 instances collapsed to 1)"
"EC53037","CU3037","Duplicate (2 instances collapsed to 1)"
"EC53042","CU3042","Duplicate (2 instances collapsed to 1)"
"EC53054","CU3054","Duplicate (2 instances collapsed to 1)"
"EC53059","CU3059","Duplicate (2 instances collapsed to 1)"
"EC53139","CU3139","Duplicate (2 instances collapsed to 1)"
"EC53172","CU3172","Duplicate (2 instances collapsed to 1)"
"EC53192","CU3192","Duplicate (2 instances collapsed to 1)"
"EC52002","CU32002","Duplicate (3 instances collapsed to 1)"
"EC52005","CU32005","Duplicate (2 instances collapsed to 1)"
"EC50111","CU32011/1","Duplicate (2 instances collapsed to 1)"
"EC53241","CU3241","Duplicate (2 instances collapsed to 1)"
"EC53128","CU33128","Duplicate (2 instances collapsed to 1)"
"EC53337","CU3337","Duplicate (2 instances collapsed to 1)"
"EC53340","CU3340","Duplicate (2 instances collapsed to 1)"
"EC53360","CU3360","Duplicate (2 instances collapsed to 1)"
"EC54003","CU34003","Duplicate (4 instances collapsed to 1)"
"EC53435","CU3435","Duplicate (2 instances collapsed to 1)"
"EC53448","CU3448","Duplicate (2 instances collapsed to 1)"
"EC53454","CU3454","Duplicate (2 instances collapsed to 1)"
"EC53455","CU3455","Duplicate (2 instances collapsed to 1)"
"EC53461","CU3461","Duplicate (2 instances collapsed to 1)"
"EC54611","CU3461/1","Duplicate (2 instances collapsed to 1)"
"EC53518","CU3518","Duplicate (2 instances collapsed to 1)"
"EC53540","CU3540","Duplicate (2 instances collapsed to 1)"
"EC53554","CU3554","Duplicate (2 instances collapsed to 1)"
"EC53562","CU3562","Duplicate (2 instances collapsed to 1)"
"EC53567","CU3567","Duplicate (2 instances collapsed to 1)"
"EC53569","CU3569","Duplicate (2 instances collapsed to 1)"
"EC53780","CU3780","Duplicate (2 instances collapsed to 1)"
"EC53840","CU3840","Duplicate (2 instances collapsed to 1)"
"EC53847","CU3847","Duplicate (2 instances collapsed to 1)"
"EC53858","CU3858","Duplicate (2 instances collapsed to 1)"
"EC53943","CU3943","Duplicate (2 instances collapsed to 1)"
"EC53955","CU3955","Duplicate (2 instances collapsed to 1)"
"EC53979","CU3979","Duplicate (2 instances collapsed to 1)"
"EC50071","CU4007/1","Duplicate (2 instances collapsed to 1)"
"EC54054","CU4054","Duplicate (2 instances collapsed to 1)"
"EC54151","CU4151","Duplicate (2 instances collapsed to 1)"
"EC54179","CU4179","Duplicate (2 instances collapsed to 1)"
"EC54251","CU4251","Duplicate (2 instances collapsed to 1)"
"EC54436","CU4436","Duplicate (2 instances collapsed to 1)"
"EC54469","CU4469","Duplicate (2 instances collapsed to 1)"
"EC55004","CU45004","Duplicate (3 instances collapsed to 1)"
"EC54594","CU4594","Duplicate (2 instances collapsed to 1)"
"EC54624","CU4624","Duplicate (2 instances collapsed to 1)"
"EC54795","CU4795","Duplicate (2 instances collapsed to 1)"
"EC55041","CU5041","Duplicate (2 instances collapsed to 1)"
"EC55044","CU5044","Duplicate (2 instances collapsed to 1)"
"EC55141","CU5141","Duplicate (2 instances collapsed to 1)"
"EC55257","CU5257","Duplicate (2 instances collapsed to 1)"
"EC55366","CU5366","Duplicate (2 instances collapsed to 1)"
"EC55480","CU5480","Duplicate (2 instances collapsed to 1)"
"EC55877","CU5877","Duplicate (2 instances collapsed to 1)"
"EC51225","CU61225","Duplicate (2 instances collapsed to 1)"
"EC56724","CU6724","Duplicate (2 instances collapsed to 1)"
"EC58430","CU8430","Duplicate (2 instances collapsed to 1)"
"EC59018","CU9018","Duplicate (2 instances collapsed to 1)"
"ECCU901810","CU9018(10)","Duplicate (2 instances collapsed to 1)"
"ECCU932110","CU9321(10)","Duplicate (2 instances collapsed to 1)"
"EC50017","CUD30017","Duplicate (2 instances collapsed to 1)"
"EC55006","CUD35006","Duplicate (2 instances collapsed to 1)"
"EC58012","CUD38012","Duplicate (2 instances collapsed to 1)"
"EC56005","CUD46005","Duplicate (2 instances collapsed to 1)"
"EC53006","CUD53006","Duplicate (2 instances collapsed to 1)"
"EC55011","CUD55011","Duplicate (2 instances collapsed to 1)"
"EC56035","CUD6035","Duplicate (2 instances collapsed to 1)"
"EC52014","CUK22014","Duplicate (2 instances collapsed to 1)"
"EC54062","CUK24062","Duplicate (2 instances collapsed to 1)"
"EC59008","CUK29008","Duplicate (2 instances collapsed to 1)"
"EA50231","FP26023/1","Duplicate (2 instances collapsed to 1)"
"EL50002","HU10002Z","Duplicate (2 instances collapsed to 1)"
"EL50004","HU10004Z","Duplicate (5 instances collapsed to 1)"
"EL50771","HU1077/1X","Duplicate (2 instances collapsed to 1)"
"EL50772","HU1077/2X","Duplicate (2 instances collapsed to 1)"
"EL51002","HU11002X","Duplicate (3 instances collapsed to 1)"
"EL51003","HU11003Y","Duplicate (3 instances collapsed to 1)"
"EL51011","HU11011Z","Duplicate (2 instances collapsed to 1)"
"EL52001","HU12001Z","Duplicate (3 instances collapsed to 1)"
"EL52003","HU12003X","Duplicate (3 instances collapsed to 1)"
"EL52005","HU12005","Duplicate (4 instances collapsed to 1)"
"EL52010","HU12010X","Duplicate (3 instances collapsed to 1)"
"EL52013","HU12013Z","Duplicate (2 instances collapsed to 1)"
"EL52015","HU12015X","Duplicate (2 instances collapsed to 1)"
"EL52016","HU12016Z","Duplicate (2 instances collapsed to 1)"
"EL52021","HU12021Z","Duplicate (3 instances collapsed to 1)"
"EL52110","HU12110X","Duplicate (3 instances collapsed to 1)"
"EL51270","HU1270X","Duplicate (2 instances collapsed to 1)"
"EL51291","HU1291Z","Duplicate (2 instances collapsed to 1)"
"EL51253","HU13125/3X","Duplicate (2 instances collapsed to 1)"
"EL53125","HU13125X","Duplicate (2 instances collapsed to 1)"
"EL51381","HU1381","Duplicate (2 instances collapsed to 1)"
"EL50514","HU514X","Duplicate (2 instances collapsed to 1)"
"EL56002","HU6002Z","Duplicate (2 instances collapsed to 1)"
"EL56006","HU6006Z","Duplicate (2 instances collapsed to 1)"
"EL56011","HU6011Z","Duplicate (2 instances collapsed to 1)"
"EL56013","HU6013Y","Duplicate (2 instances collapsed to 1)"
"EL56014","HU6014Z","Duplicate (2 instances collapsed to 1)"
"EL56018","HU6018Z","Duplicate (2 instances collapsed to 1)"
"EL56019","HU6019Z","Duplicate (3 instances collapsed to 1)"
"EL56026","HU6026Z","Duplicate (2 instances collapsed to 1)"
"EL50610","HU610X","Duplicate (2 instances collapsed to 1)"
"EL50618","HU618X","Duplicate (2 instances collapsed to 1)"
"EL50068","HU68X","Duplicate (2 instances collapsed to 1)"
"EL50692","HU69/2","Duplicate (2 instances collapsed to 1)"
"EL57001","HU7001X","Duplicate (3 instances collapsed to 1)"
"EL57002","HU7002Z","Duplicate (2 instances collapsed to 1)"
"EL57003","HU7003X","Duplicate (2 instances collapsed to 1)"
"EL57008","HU7008Z","Duplicate (2 instances collapsed to 1)"
"EL57011","HU7011Y","Duplicate (2 instances collapsed to 1)"
"EL57012","HU7012Z","Duplicate (2 instances collapsed to 1)"
"EL57020","HU7020Z","Duplicate (2 instances collapsed to 1)"
"EL57024","HU7024Z","Duplicate (2 instances collapsed to 1)"
"EL57030","HU7030Z","Duplicate (2 instances collapsed to 1)"
"EL57032","HU7032Z","Duplicate (2 instances collapsed to 1)"
"EL57034","HU7034Z","Duplicate (2 instances collapsed to 1)"
"EL57035","HU7035Y","Duplicate (2 instances collapsed to 1)"
"EL57041","HU7041Z","Duplicate (2 instances collapsed to 1)"
"EL57042","HU7042Z","Duplicate (2 instances collapsed to 1)"
"EL57052","HU7052X","Duplicate (3 instances collapsed to 1)"
"EL51151","HU711/51X","Duplicate (2 instances collapsed to 1)"
"EL50711","HU711X","Duplicate (2 instances collapsed to 1)"
"EL51210","HU712/10X","Duplicate (2 instances collapsed to 1)"
"EL51211","HU712/11X","Duplicate (3 instances collapsed to 1)"
"EL57126","HU712/6X","Duplicate (3 instances collapsed to 1)"
"EL57127","HU712/7X","Duplicate (2 instances collapsed to 1)"
"EL57128","HU712/8X","Duplicate (2 instances collapsed to 1)"
"EL57129","HU712/9X","Duplicate (2 instances collapsed to 1)"
"EL50712","HU712X","Duplicate (3 instances collapsed to 1)"
"EL57131","HU713/1X","Duplicate (2 instances collapsed to 1)"
"EL50713","HU713X","Duplicate (2 instances collapsed to 1)"
"EL57162","HU716/2X","Duplicate (2 instances collapsed to 1)"
"EL57181","HU718/1K","Duplicate (5 instances collapsed to 1)"
"EL57182","HU718/2X","Duplicate (2 instances collapsed to 1)"
"EL50718","HU718X","Duplicate (2 instances collapsed to 1)"
"EL57193","HU719/3X","Duplicate (2 instances collapsed to 1)"
"EL57195","HU719/5X","Duplicate (3 instances collapsed to 1)"
"EL57196","HU719/6X","Duplicate (2 instances collapsed to 1)"
"EL57197","HU719/7X","Duplicate (2 instances collapsed to 1)"
"EL57198","HU719/8X","Duplicate (2 instances collapsed to 1)"
"EL50721","HU721","Duplicate (5 instances collapsed to 1)"
"EL50722","HU722X","Duplicate (4 instances collapsed to 1)"
"EL58001","HU8001X","Duplicate (4 instances collapsed to 1)"
"EL58002","HU8002XKIT","Duplicate (4 instances collapsed to 1)"
"EL58003","HU8003X","Duplicate (3 instances collapsed to 1)"
"EL58005","HU8005Z","Duplicate (3 instances collapsed to 1)"
"EL58006","HU8006Z","Duplicate (2 instances collapsed to 1)"
"EL58007","HU8007Z","Duplicate (2 instances collapsed to 1)"
"EL58009","HU8009Z","Duplicate (2 instances collapsed to 1)"
"EL58010","HU8010Z","Duplicate (3 instances collapsed to 1)"
"EL58011","HU8011Z","Duplicate (3 instances collapsed to 1)"
"EL58018","HU8018Z","Duplicate (2 instances collapsed to 1)"
"EL58136","HU8136Z","Duplicate (2 instances collapsed to 1)"
"EL50816","HU816X","Duplicate (2 instances collapsed to 1)"
"EL50820","HU820X","Duplicate (2 instances collapsed to 1)"
"EL59001","HU9001X","Duplicate (5 instances collapsed to 1)"
"EL59002","HU9002Z","Duplicate (5 instances collapsed to 1)"
"EL59003","HU9003Z","Duplicate (2 instances collapsed to 1)"
"EL59006","HU9006Z","Duplicate (3 instances collapsed to 1)"
"EL59007","HU9007Z","Duplicate (2 instances collapsed to 1)"
"EL59009","HU9009Z","Duplicate (2 instances collapsed to 1)"
"EL59011","HU9011Z","Duplicate (2 instances collapsed to 1)"
"EL50920","HU920X","Duplicate (5 instances collapsed to 1)"
"EL50921","HU921X","Duplicate (2 instances collapsed to 1)"
"EL50923","HU923X","Duplicate (3 instances collapsed to 1)"
"EL59254","HU925/4X","Duplicate (2 instances collapsed to 1)"
"EL59265","HU926/5X","Duplicate (3 instances collapsed to 1)"
"EL59303","HU930/3X","Duplicate (2 instances collapsed to 1)"
"EL50931","HU931X","Duplicate (3 instances collapsed to 1)"
"EL59324","HU932/4N","Duplicate (2 instances collapsed to 1)"
"EL59326","HU932/6N","Duplicate (2 instances collapsed to 1)"
"EL59452","HU945/2X","Duplicate (2 instances collapsed to 1)"
"EL59453","HU945/3X","Duplicate (2 instances collapsed to 1)"
"EL59471","HU947/1N","Duplicate (2 instances collapsed to 1)"
"EL50951","HU951X","Duplicate (2 instances collapsed to 1)"
"EF50005","PU10005X","Duplicate (2 instances collapsed to 1)"
"EF50006","PU10006X","Duplicate (2 instances collapsed to 1)"
"EF50011","PU10011Z","Duplicate (3 instances collapsed to 1)"
"EF50012","PU10012Z","Duplicate (3 instances collapsed to 1)"
"EF50019","PU10019Z","Duplicate (2 instances collapsed to 1)"
"EF50020","PU10020X","Duplicate (2 instances collapsed to 1)"
"EF50021","PU10021Z","Duplicate (3 instances collapsed to 1)"
"EF50022","PU10022Z","Duplicate (2 instances collapsed to 1)"
"EF50231","PU10023/1","Duplicate (2 instances collapsed to 1)"
"EF50027","PU10027Z","Duplicate (2 instances collapsed to 1)"
"EF50028","PU10028Z","Duplicate (2 instances collapsed to 1)"
"EF50036","PU10036X","Duplicate (2 instances collapsed to 1)"
"EF51040","PU1040X","Duplicate (3 instances collapsed to 1)"
"EF51046","PU1046X","Duplicate (2 instances collapsed to 1)"
"EF51060","PU1060X","Duplicate (2 instances collapsed to 1)"
"EF51001","PU11001ZKIT","Duplicate (2 instances collapsed to 1)"
"EF51002","PU11002ZKIT","Duplicate (2 instances collapsed to 1)"
"EF50031","PU12003/1Z","Duplicate (2 instances collapsed to 1)"
"EF52003","PU12003Z","Duplicate (2 instances collapsed to 1)"
"EF52004","PU12004Z","Duplicate (2 instances collapsed to 1)"
"EF53002","PU13002X","Duplicate (3 instances collapsed to 1)"
"EF52001","PU2001","Duplicate (2 instances collapsed to 1)"
"EF55002","PU5002Z","Duplicate (3 instances collapsed to 1)"
"EF55003","PU5003Z","Duplicate (2 instances collapsed to 1)"
"EF55005","PU5005","Duplicate (2 instances collapsed to 1)"
"EF50050","PU50X","Duplicate (3 instances collapsed to 1)"
"EF50051","PU51X","Duplicate (6 instances collapsed to 1)"
"EF50053","PU53","Duplicate (2 instances collapsed to 1)"
"EF56006","PU6006","Duplicate (2 instances collapsed to 1)"
"EF57002","PU7002X","Duplicate (2 instances collapsed to 1)"
"EF57012","PU7012Z","Duplicate (2 instances collapsed to 1)"
"EF57014","PU7014Z","Duplicate (2 instances collapsed to 1)"
"EF57015","PU7015","Duplicate (2 instances collapsed to 1)"
"EF50723","PU723X","Duplicate (2 instances collapsed to 1)"
"EF50731","PU731X","Duplicate (2 instances collapsed to 1)"
"EF58014","PU8014","Duplicate (2 instances collapsed to 1)"
"EF58015","PU8015","Duplicate (2 instances collapsed to 1)"
"EF58018","PU8018","Duplicate (2 instances collapsed to 1)"
"EF58019","PU8019","Duplicate (2 instances collapsed to 1)"
"EF50201","PU8020/1X","Duplicate (2 instances collapsed to 1)"
"EF58021","PU8021","Duplicate (2 instances collapsed to 1)"
"EF58028","PU8028","Duplicate (2 instances collapsed to 1)"
"EF58046","PU8046Z","Duplicate (2 instances collapsed to 1)"
"EF58051","PU8051Z","Duplicate (2 instances collapsed to 1)"
"EF50815","PU815X","Duplicate (3 instances collapsed to 1)"
"EF58193","PU819/3X","Duplicate (3 instances collapsed to 1)"
"EF50820","PU820X","Duplicate (2 instances collapsed to 1)"
"EF50823","PU823X","Duplicate (2 instances collapsed to 1)"
"EF50830","PU830X","Duplicate (2 instances collapsed to 1)"
"EF50831","PU831X","Duplicate (2 instances collapsed to 1)"
"EF58341","PU834/1X","Duplicate (2 instances collapsed to 1)"
"EF50850","PU850X","Duplicate (2 instances collapsed to 1)"
"EF59009","PU9009ZKIT","Duplicate (2 instances collapsed to 1)"
"EF59011","PU9011ZKIT","Duplicate (2 instances collapsed to 1)"
"EF59012","PU9012Z","Duplicate (2 instances collapsed to 1)"
"EF59014","PU9014","Duplicate (2 instances collapsed to 1)"
"EF59015","PU9015Z","Duplicate (2 instances collapsed to 1)"
"EF59023","PU9023Z","Duplicate (2 instances collapsed to 1)"
"EF59025","PU9025","Duplicate (2 instances collapsed to 1)"
"EF59027","PU9027Z","Duplicate (2 instances collapsed to 1)"
"EF59036","PU9036Z","Duplicate (2 instances collapsed to 1)"
"EF59037","PU9037Z","Duplicate (2 instances collapsed to 1)"
"EF59040","PU9040Z","Duplicate (2 instances collapsed to 1)"
"EF50936","PU936X","Duplicate (2 instances collapsed to 1)"
"EF59661","PU966/1","Duplicate (2 instances collapsed to 1)"
"EL50005","W10005","Duplicate (3 instances collapsed to 1)"
"EL50007","W10007","Duplicate (3 instances collapsed to 1)"
"EL50008","W10008","Duplicate (3 instances collapsed to 1)"
"EL50009","W10009","Duplicate (2 instances collapsed to 1)"
"EL50010","W10010","Duplicate (2 instances collapsed to 1)"
"EL50014","W10014","Duplicate (2 instances collapsed to 1)"
"EL50015","W10015","Duplicate (2 instances collapsed to 1)"
"EL50016","W10016","Duplicate (2 instances collapsed to 1)"
"EL50020","W10020","Duplicate (2 instances collapsed to 1)"
"EL51020","W1020","Duplicate (2 instances collapsed to 1)"
"EL51022","W1022","Duplicate (5 instances collapsed to 1)"
"EL50221","W1022/1","Duplicate (2 instances collapsed to 1)"
"EL51035","W1035","Duplicate (2 instances collapsed to 1)"
"EL51023","W11023","Duplicate (2 instances collapsed to 1)"
"EL51024","W11024","Duplicate (3 instances collapsed to 1)"
"EL51025","W11025","Duplicate (2 instances collapsed to 1)"
"EL51027","W11027","Duplicate (2 instances collapsed to 1)"
"EL51102","W11102","Duplicate (3 instances collapsed to 1)"
"EL51021","W11102/1","Duplicate (3 instances collapsed to 1)"
"EL50210","W11102/10","Duplicate (2 instances collapsed to 1)"
"EL50211","W11102/11","Duplicate (2 instances collapsed to 1)"
"EL50212","W11102/12","Duplicate (2 instances collapsed to 1)"
"EL50224","W11102/24","Duplicate (2 instances collapsed to 1)"
"EL50228","W11102/28","Duplicate (2 instances collapsed to 1)"
"EL51480","W1114/80","Duplicate (4 instances collapsed to 1)"
"EL51168","W11168","Duplicate (3 instances collapsed to 1)"
"EL51181","W11181","Duplicate (3 instances collapsed to 1)"
"EL51201","W11201","Duplicate (2 instances collapsed to 1)"
"EL51261","W1126/1","Duplicate (2 instances collapsed to 1)"
"EL52610","W1126/10","Duplicate (2 instances collapsed to 1)"
"EL51262","W1126/2","Duplicate (2 instances collapsed to 1)"
"EL51265","W1126/5","Duplicate (3 instances collapsed to 1)"
