elimfilters_sku,source_sku,segment,oem_count,oem_brand,oem_code,recovery_score,recovery_tier
EC50110,CU108001/10,Cabin Filter,0,,,0,TIER_E
EC51313,CU1313,Cabin Filter,0,,,0,TIER_E
EC53133,CU1313/3,Cabin Filter,0,,,0,TIER_E
EC54010,CU14010,Cabin Filter,0,,,0,TIER_E
EC54200,CU14200,Cabin Filter,0,,,0,TIER_E
EC50212,CU1490021/2,Cabin Filter,0,,,0,TIER_E
EC53710,CU1550037/10,Cabin Filter,0,,,0,TIER_E
EC50222,CU1560022/2,Cabin Filter,0,,,0,TIER_E
EC50032,CU16003/2,Cabin Filter,0,,,0,TIER_E
EC56011,CU16011,Cabin Filter,0,,,0,TIER_E
EC51620,CU1620,Cabin Filter,0,,,0,TIER_E
EC50242,CU1640024/2,Cabin Filter,0,,,0,TIER_E
EC50092,CU17009/2,Cabin Filter,0,,,0,TIER_E
EC57202,CU1720/2,Cabin Filter,0,,,0,TIER_E
EC51721,CU1721,Cabin Filter,0,,,0,TIER_E
EC57212,CU1721/2,Cabin Filter,0,,,0,TIER_E
EC50002,CU18000/2,Cabin Filter,0,,,0,TIER_E
EC58062,CU1806/2,Cabin Filter,0,,,0,TIER_E
EC58112,CU1811/2,Cabin Filter,0,,,0,TIER_E
EC51828,CU1828M,Cabin Filter,0,,,0,TIER_E
EC51853,CU1853,Cabin Filter,0,,,0,TIER_E
EC50003,CU19000/3,Cabin Filter,0,,,0,TIER_E
EC59003,CU19003,Cabin Filter,0,,,0,TIER_E
EC50042,CU19004/2,Cabin Filter,0,,,0,TIER_E
EC59006,CU19006,Cabin Filter,0,,,0,TIER_E
EC59007,CU19007,Cabin Filter,0,,,0,TIER_E
EC59023,CU19023,Cabin Filter,0,,,0,TIER_E
EC51911,CU1911,Cabin Filter,0,,,0,TIER_E
EC51916,CU1916,Cabin Filter,0,,,0,TIER_E
EC59192,CU1919/2,Cabin Filter,0,,,0,TIER_E
EC51919,CU1919M,Cabin Filter,0,,,0,TIER_E
EC59302,CU1930/2,Cabin Filter,0,,,0,TIER_E
EC51931,CU1931,Cabin Filter,0,,,0,TIER_E
EC59312,CU1931/2,Cabin Filter,0,,,0,TIER_E
EC51938,CU1938,Cabin Filter,0,,,0,TIER_E
EC50052,CU20005/2,Cabin Filter,0,,,0,TIER_E
EC50007,CU20007,Cabin Filter,0,,,0,TIER_E
EC50008,CU20008,Cabin Filter,0,,,0,TIER_E
EC50009,CU20009,Cabin Filter,0,,,0,TIER_E
EC50014,CU20014,Cabin Filter,0,,,0,TIER_E
EC50017,CU20017,Cabin Filter,0,,,0,TIER_E
EC50054,CU20054,Cabin Filter,0,,,0,TIER_E
EC50055,CU20055,Cabin Filter,0,,,0,TIER_E
EC50055,CU20055KIT,Cabin Filter,0,,,0,TIER_E
EC50112,CU2011/2,Cabin Filter,0,,,0,TIER_E
EC50332,CU2033/2,Cabin Filter,0,,,0,TIER_E
EC50002,CU21000/2,Cabin Filter,0,,,0,TIER_E
EC50012,CU21001/2,Cabin Filter,0,,,0,TIER_E
EC50022,CU21002/2,Cabin Filter,0,,,0,TIER_E
EC51003,CU21003M,Cabin Filter,0,,,0,TIER_E
EC50052,CU21005/2,Cabin Filter,0,,,0,TIER_E
EC51012,CU21012,Cabin Filter,0,,,0,TIER_E
EC51015,CU21015,Cabin Filter,0,,,0,TIER_E
EC51036,CU21036,Cabin Filter,0,,,0,TIER_E
EC51062,CU2106/2,Cabin Filter,0,,,0,TIER_E
EC52126,CU2126,Cabin Filter,0,,,0,TIER_E
EC52128,CU2128,Cabin Filter,0,,,0,TIER_E
EC52131,CU2131M,Cabin Filter,0,,,0,TIER_E
EC52133,CU2133,Cabin Filter,0,,,0,TIER_E
EC50012,CU22001/2,Cabin Filter,0,,,0,TIER_E
EC50022,CU22002/2,Cabin Filter,0,,,0,TIER_E
EC50041,CU22004/1,Cabin Filter,0,,,0,TIER_E
EC50092,CU22009/2,Cabin Filter,0,,,0,TIER_E
EC52064,CU22064,Cabin Filter,0,,,0,TIER_E
EC52142,CU2214/2,Cabin Filter,0,,,0,TIER_E
EC52162,CU2216/2,Cabin Filter,0,,,0,TIER_E
EC52172,CU2217/2,Cabin Filter,0,,,0,TIER_E
EC52224,CU2224,Cabin Filter,0,,,0,TIER_E
EC52242,CU2224/2,Cabin Filter,0,,,0,TIER_E
EC52238,CU2238,Cabin Filter,0,,,0,TIER_E
EC50002,CU23000/2,Cabin Filter,0,,,0,TIER_E
EC50012,CU23001/2,Cabin Filter,0,,,0,TIER_E
EC53003,CU23003M,Cabin Filter,0,,,0,TIER_E
EC50052,CU23005/2,Cabin Filter,0,,,0,TIER_E
EC53012,CU23012,Cabin Filter,0,,,0,TIER_E
EC50152,CU23015/2,Cabin Filter,0,,,0,TIER_E
EC50191,CU23019/1,Cabin Filter,0,,,0,TIER_E
EC53019,CU23019M,Cabin Filter,0,,,0,TIER_E
EC52325,CU2325,Cabin Filter,0,,,0,TIER_E
EC53251,CU2325/1,Cabin Filter,0,,,0,TIER_E
EC52327,CU2327,Cabin Filter,0,,,0,TIER_E
EC53272,CU2327/2,Cabin Filter,0,,,0,TIER_E
EC52333,CU2333,Cabin Filter,0,,,0,TIER_E
EC52336,CU2336M,Cabin Filter,0,,,0,TIER_E
EC52368,CU2368,Cabin Filter,0,,,0,TIER_E
EC50002,CU24000/2,Cabin Filter,0,,,0,TIER_E
EC50122,CU24012/2,Cabin Filter,0,,,0,TIER_E
EC54013,CU24013M,Cabin Filter,0,,,0,TIER_E
EC50151,CU24015/1,Cabin Filter,0,,,0,TIER_E
EC50152,CU24015/2,Cabin Filter,0,,,0,TIER_E
EC54023,CU24023,Cabin Filter,0,,,0,TIER_E
EC50332,CU24033/2,Cabin Filter,0,,,0,TIER_E
EC54182,CU2418/2,Cabin Filter,0,,,0,TIER_E
EC54272,CU2427/2,Cabin Filter,0,,,0,TIER_E
EC52434,CU2434M,Cabin Filter,0,,,0,TIER_E
EC54421,CU2442/1,Cabin Filter,0,,,0,TIER_E
EC52443,CU2443,Cabin Filter,0,,,0,TIER_E
EC52445,CU2445,Cabin Filter,0,,,0,TIER_E
EC50042,CU25004/2KIT,Cabin Filter,0,,,0,TIER_E
EC50082,CU25008/2,Cabin Filter,0,,,0,TIER_E
EC50102,CU25010/2,Cabin Filter,0,,,0,TIER_E
EC50202,CU25020/2,Cabin Filter,0,,,0,TIER_E
EC55062,CU2506/2,Cabin Filter,0,,,0,TIER_E
EC55212,CU2521/2,Cabin Filter,0,,,0,TIER_E
EC52531,CU2531,Cabin Filter,0,,,0,TIER_E
EC52531,CU2531KIT,Cabin Filter,0,,,0,TIER_E
EC55332,CU2533/2,Cabin Filter,0,,,0,TIER_E
EC55422,CU2542/2,Cabin Filter,0,,,0,TIER_E
EC52552,CU2552,Cabin Filter,0,,,0,TIER_E
EC52556,CU2556,Cabin Filter,0,,,0,TIER_E
EC50002,CU26000/2,Cabin Filter,0,,,0,TIER_E
EC50082,CU26008/2,Cabin Filter,0,,,0,TIER_E
EC50093,CU26009/3,Cabin Filter,0,,,0,TIER_E
EC50142,CU26014/2,Cabin Filter,0,,,0,TIER_E
EC50252,CU26025/2,Cabin Filter,0,,,0,TIER_E
EC56029,CU26029,Cabin Filter,0,,,0,TIER_E
EC50310,CU2603/10,Cabin Filter,0,,,0,TIER_E
EC50342,CU26034/2,Cabin Filter,0,,,0,TIER_E
