"elimfilters_sku","source_sku","segment","has_oem","has_competitor","has_applications","has_specifications","production_tier"
"EA51537","C1537","Air Filter","0","0","1","1","TIER_P5"
"EA51540","C1540","Air Filter","1","0","1","1","TIER_P5"
"EA55403","C1540/3","Air Filter","1","0","1","1","TIER_P5"
"EA55403","C15403","Air Filter","0","1","0","1","TIER_P4"
"EAC15501","C1550/1","Air Filter","0","0","0","0","TIER_P5"
"EAC15503","C1550/3","Air Filter","0","0","0","1","TIER_P5"
"EA51552","C1552","Air Filter","1","0","1","1","TIER_P5"
"EA55521","C1552/1","Air Filter","0","0","1","1","TIER_P5"
"EA55551","C1555/1","Air Filter","1","0","1","1","TIER_P5"
"EAC15554","C1555/4","Air Filter","0","0","0","0","TIER_P5"
"EA55556","C1555/6","Air Filter","1","0","1","1","TIER_P5"
"EAC1562X","C1562X","Air Filter","0","0","0","0","TIER_P5"
"EA51567","C1567","Air Filter","1","0","1","1","TIER_P5"
"EA55671","C1567/1","Air Filter","1","0","1","1","TIER_P5"
"EA51571","C1571","Air Filter","1","0","1","1","TIER_P5"
"EA51574","C1574","Air Filter","1","0","1","1","TIER_P5"
"EA51577","C1577","Air Filter","1","0","1","1","TIER_P5"
"EA55771","C1577/1","Air Filter","1","0","1","1","TIER_P5"
"EA51586","C1586","Air Filter","1","0","1","1","TIER_P5"
"EA51588","C1588X","Air Filter","1","0","1","1","TIER_P5"
"EAC15891","C1589/1","Air Filter","0","0","0","1","TIER_P5"
"EA55892","C1589/2","Air Filter","1","0","1","1","TIER_P5"
"EA55893","C1589/3","Air Filter","1","0","1","1","TIER_P5"
"EA51595","C1595","Air Filter","0","1","0","1","TIER_P4"
"EA51596","C1596","Air Filter","1","0","1","1","TIER_P5"
"EA56001","C16001","Air Filter","0","0","1","0","TIER_P5"
"EA56005","C16005","Air Filter","1","0","1","1","TIER_P5"
"EA56005","C16005M","Air Filter","0","1","0","0","TIER_P4"
"EA56006","C16006","Air Filter","1","0","1","1","TIER_P5"
"EA56007","C16007","Air Filter","1","0","1","1","TIER_P5"
"EA50101","C16010/1","Air Filter","0","0","1","1","TIER_P5"
"EA56012","C16012","Air Filter","1","0","1","1","TIER_P5"
"EA56013","C16013","Air Filter","1","0","1","1","TIER_P5"
"EA56014","C16014","Air Filter","1","0","1","1","TIER_P5"
"EA56015","C16015","Air Filter","1","1","1","1","TIER_P1"
"EAC16017","C16017","Air Filter","0","0","0","0","TIER_P5"
"EA56018","C16018","Air Filter","1","0","1","1","TIER_P5"
"EA56025","C16025","Air Filter","1","0","1","1","TIER_P5"
"EA56100","C16100","Air Filter","1","1","1","1","TIER_P1"
"EA56110","C16110","Air Filter","0","0","1","1","TIER_P5"
"EA56113","C16113","Air Filter","1","0","1","1","TIER_P5"
"EA51131","C16113/1","Air Filter","0","1","0","1","TIER_P4"
"EA51141","C16114/1X","Air Filter","0","1","1","1","TIER_P4"
"EA51142","C16114/2X","Air Filter","1","0","1","1","TIER_P5"
"EA51143","C16114/3X","Air Filter","1","0","1","1","TIER_P5"
"EA56114","C16114X","Air Filter","0","1","1","1","TIER_P4"
"EA56118","C16118","Air Filter","1","0","1","1","TIER_P5"
"EA56122","C16122","Air Filter","1","1","1","1","TIER_P1"
"EA56127","C16127","Air Filter","1","0","1","1","TIER_P5"
"EA56130","C16130","Air Filter","0","1","0","0","TIER_P4"
"EA56133","C16133","Air Filter","0","0","1","1","TIER_P5"
"EAC16134","C16134","Air Filter","0","0","0","0","TIER_P5"
"EA51341","C16134/1","Air Filter","0","1","1","1","TIER_P4"
"EA51342","C16134/2","Air Filter","1","0","1","1","TIER_P5"
"EA56136","C16136","Air Filter","1","0","1","1","TIER_P5"
"EA56140","C16140","Air Filter","1","1","1","1","TIER_P1"
"EA56142","C16142","Air Filter","1","1","0","1","TIER_P3"
"EAC161421","C16142/1","Air Filter","0","0","0","1","TIER_P5"
"EA51422","C16142/2","Air Filter","1","0","1","1","TIER_P5"
"EA56143","C16143","Air Filter","0","0","1","1","TIER_P5"
"EA56147","C16147","Air Filter","0","0","1","1","TIER_P5"
"EA56148","C16148","Air Filter","1","0","1","1","TIER_P5"
"EA56150","C16150","Air Filter","1","0","1","1","TIER_P5"
"EA56153","C16153","Air Filter","1","0","1","1","TIER_P5"
"EA56154","C16154","Air Filter","0","0","1","1","TIER_P5"
"EA51621","C16162/1","Air Filter","1","0","1","1","TIER_P5"
"EAC16163","C16163","Air Filter","0","0","0","1","TIER_P5"
"EA56167","C16167","Air Filter","1","1","1","1","TIER_P1"
"EA51618","C1618","Air Filter","1","0","1","1","TIER_P5"
"EA56181","C16181","Air Filter","0","0","1","1","TIER_P5"
"EA56182","C16182","Air Filter","1","0","1","1","TIER_P5"
"EAC161901","C16190/1","Air Filter","0","0","0","1","TIER_P5"
"EA51903","C16190/3X","Air Filter","1","0","1","1","TIER_P5"
"EA51904","C16190/4","Air Filter","0","0","1","1","TIER_P5"
"EA56190","C16190X","Air Filter","1","1","1","1","TIER_P1"
"EA56200","C16200","Air Filter","0","0","1","1","TIER_P5"
"EA56210","C16210","Air Filter","1","1","1","1","TIER_P1"
"EA56212","C16212","Air Filter","0","1","0","0","TIER_P4"
"EAC162121","C16212/1","Air Filter","0","0","0","1","TIER_P5"
"EAC162122","C16212/2","Air Filter","0","0","0","1","TIER_P5"
"EA56214","C16214","Air Filter","0","1","0","1","TIER_P4"
"EAC16245","C16245","Air Filter","0","0","0","1","TIER_P5"
"EA52471","C16247/1","Air Filter","1","0","1","1","TIER_P5"
"EA56302","C16302","Air Filter","1","1","1","1","TIER_P1"
"EA51632","C1632","Air Filter","0","1","0","1","TIER_P4"
"EA56324","C16324","Air Filter","0","1","1","1","TIER_P4"
"EA53242","C16324/2","Air Filter","1","0","1","1","TIER_P5"
"EA56331","C1633/1","Air Filter","1","0","1","1","TIER_P5"
"EA56334","C16334","Air Filter","1","1","1","1","TIER_P1"
"EA56335","C16335","Air Filter","1","1","1","1","TIER_P1"
"EA56340","C16340","Air Filter","1","1","1","1","TIER_P1"
"EA56340","C16340X","Air Filter","0","0","1","1","TIER_P5"
"EA51635","C1635","Air Filter","1","0","1","1","TIER_P5"
