make,application_count,sku_count
AHLMANN (MECALAC),167,29
LINDNER TRAKTOREN,162,28
BRANSON,162,8
TEMSA BUS,161,36
AVELING BARFORD,159,39
KALMAR LMV,159,38
DYNAPAC-WINGET,158,46
PERKINS,157,26
MASSEY-FERGUSON-HANOMAG,156,38
AG-CHEM (AGCO),154,43
HAULOTTE,146,23
ALLIS-CHALMERS,143,28
DAEWOO CONSTRUCTION EQUIPMENT,142,47
DODGE,142,43
AIFO (IVECO-AIFO/OM/SOFIM),141,21
MINI (BMW GROUP),140,23
TAM,139,20
TOYOTA (USA),138,14
KAMAZ,136,23
BROEYT (BROEDR SOYLAND AS),133,24
LANCER BOSS,132,20
BMC (TR),131,28
BARREIROS,131,9
GENIE,130,33
ALFA ROMEO (USA),130,14
THWAITES,129,29
HANOMAG HENSCHEL,123,9
FURUKAWA,120,32
FORD (USA),120,9
MWM (CATERPILLAR),118,17
JENBACHER GASMOTOREN,116,29
SMART (DAIMLER AG),116,16
DEMAG BAGGER (MANNESM.-DEMAG),115,34
起亚(东风起亚) / KIA (DF.KIA),115,18
IHI CONSTRUCTION MACHINERY,115,16
HESSTON,115,6
MITSUBISHI (JP),114,9
DEMAG MOBILE CRANES,113,31
现代(北京现代) / HYUNDAI (BEIJING.H),113,20
宝马(华晨宝马) / BMW (BR.BMW),112,16
HINO,112,7
SAAB,111,22
BUSCH VACUUM PUMPS,111,12
JELCZ,111,9
EATON YALE & TOWNE,109,25
KAESSBOHRER PISTEN BULLY,108,31
BMW ALPINA B. BOVENSIEPEN,108,26
奥迪(一汽奥迪) / AUDI (FAW.AUDI),108,13
REFORM-WERKE,107,23
BENFRA,107,15
HOLDER TRAKTOREN,105,17
VISEON BUS,104,19
GOLDONI TRACTORS,103,35
SSANGYONG,103,15
FIAT (USA),103,9
AKERMAN,102,15
别克(上海通用) / BUICK (SGM),100,17
一汽解放 / FAW JIEFANG,99,16
FORD ENGINES,99,9
DENNIS TRUCKS / DENNIS EAGLE,98,25
IRIZAR,98,3
三一重工 / SANY,97,40
MAHINDRA,95,13
吉利 / GEELY,94,11
大众(一汽大众) / VW (FAW.VW),94,8
INFINITI,93,18
LAVERDA,92,19
KING LONG BUSES,92,18
IRMER & ELZE KOMPRESSOREN,92,16
EUROCOMACH,92,14
BUICK (USA),92,9
STEINBOCK,91,19
KRAMER TRAKTOREN,91,8
LOMBARDINI ENGINES,90,18
日产(东风日产) / NISSAN (DF.N),90,14
GIANT (TOBROCO MACHINES),88,20
ROMAN S.A. (DAC),88,17
AGRIFULL,87,15
MICHIGAN,86,23
URSUS,85,25
FUCHS (Terex),84,25
YANMAR DIESEL,84,15
RENAULT (USA),84,11
IHC-INTERN.-HOUGH/DRESSER (D),83,20
P + H CO. (HARNISCHFEGER),83,17
COLES CRANES,83,15
